,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO,LPT,LWKR,FDD/LWKR,LOPNR,SRM,LIFO
la16_100_25,1099,1142,1106,1148,1136,1241,1507,1210,1237,1201,1235,1251
la16_100_50,1217,1215,1195,1179,1188,1297,1460,1562,1302,1345,1558,1381
la16_100_75,1259,1099,1153,1191,1080,1145,1505,1198,1399,1449,1263,1277
la16_25_25,1279,1131,1056,1145,1060,1287,1270,1149,1229,1130,1210,1269
la16_25_50,1155,1113,1177,1161,1160,1177,1247,1153,1269,1135,1322,1273
la16_25_75,1249,1236,1225,1174,1136,1215,1230,1332,1300,1324,1289,1143
la16_50_25,1094,1068,1095,1103,1103,1138,1196,1278,1243,1097,1243,1046
la16_50_50,1199,1145,1083,1156,1115,1212,1195,1247,1223,1369,1225,1237
la16_50_75,1284,1164,1175,1237,1146,1286,1488,1289,1638,1443,1294,1443
la16_75_25,1147,1135,1152,1147,1123,1176,1517,1357,1129,1143,1355,1295
la16_75_50,1245,1069,1032,1027,1069,1235,1350,1406,1227,1111,1263,1288
la16_75_75,1148,1175,1090,1158,1150,1111,1251,1216,1243,1310,1216,1316
la26_100_25,1767,1347,1467,1469,1309,1422,1629,1607,1752,1776,1625,1711
la26_100_50,1656,1514,1488,1447,1513,1531,1871,1869,1688,1895,1814,1601
la26_100_75,1562,1438,1412,1425,1447,1558,1835,1705,1769,1825,1700,1697
la26_25_25,1775,1463,1427,1406,1398,1476,1907,1709,1870,1645,1869,1680
la26_25_50,1548,1463,1420,1380,1449,1512,1636,1639,1811,1692,1768,1791
la26_25_75,1664,1395,1465,1483,1401,1519,1675,1832,1893,1757,1867,1627
la26_50_25,1477,1427,1498,1395,1396,1538,1712,1784,1826,1832,1693,1648
la26_50_50,1687,1379,1379,1472,1375,1454,1548,1765,1748,1601,1717,1520
la26_50_75,1581,1542,1476,1416,1462,1455,1586,1673,1834,1667,1793,1708
la26_75_25,1655,1427,1400,1444,1384,1433,1860,1852,1664,1799,1839,1634
la26_75_50,1643,1519,1470,1504,1413,1617,1606,1860,1782,1758,1729,1638
la26_75_75,1482,1477,1472,1553,1355,1493,1716,1591,1727,1793,1739,1620
la31_100_25,2101,1986,1871,1850,1930,1922,2421,2381,2272,2052,2430,2119
la31_100_50,2078,1989,1875,1912,1893,2058,2525,2407,2358,2224,2223,2003
la31_100_75,2187,2143,2042,2092,2134,2064,2390,2412,2564,2513,2549,2399
la31_25_25,1963,1938,1797,1843,1879,2001,2244,2357,1991,2072,2236,2155
la31_25_50,1937,2030,1870,1934,2005,1957,2358,2295,2282,2272,2459,2086
la31_25_75,1935,1955,1895,1846,1854,1921,2219,2477,2139,2447,2472,2582
la31_50_25,1949,1900,1822,1770,1860,1935,2231,2270,2223,2234,2206,2213
la31_50_50,2027,1920,1860,1859,1942,1980,2173,2492,2240,2385,2369,2270
la31_50_75,2064,1941,1941,1794,1956,2116,2160,2356,2255,2284,2487,2357
la31_75_25,2045,1972,1815,1841,1851,1888,2313,2243,2462,2251,2320,2000
la31_75_50,2116,1937,1891,1890,1845,1963,2373,2483,2112,2207,2373,2325
la31_75_75,2224,1994,2002,1912,1907,2084,2563,2593,2351,2336,2544,2371
ta41_100_25,2745,2589,2645,2583,2581,2614,3129,2901,2932,2910,3128,2833
ta41_100_50,2849,2532,2541,2671,2579,2697,3230,3077,3023,3325,3421,2829
ta41_100_75,2963,2691,2660,2647,2689,2929,3642,3338,3699,3195,3124,3152
ta41_25_25,2566,2622,2644,2507,2558,2616,2932,2830,3445,3182,3164,3215
ta41_25_50,2957,2764,2600,2577,2680,2675,2915,2944,2932,3187,2932,2971
ta41_25_75,2496,2675,2647,2500,2556,2761,3437,2941,2837,3240,3148,2856
ta41_50_25,2659,2607,2577,2585,2617,2607,3049,2931,3034,3131,3079,3123
ta41_50_50,2605,2560,2622,2548,2517,2630,2877,3301,3151,3266,2876,2893
ta41_50_75,2778,2636,2748,2691,2645,2741,3004,3407,3106,3558,2989,2798
ta41_75_25,2708,2600,2533,2481,2566,2578,2852,2959,2849,2864,3205,2863
ta41_75_50,2705,2664,2508,2617,2549,2681,2962,2916,3209,3266,3055,3128
ta41_75_75,2745,2836,2784,2761,2849,2880,3210,2882,3214,3359,2918,3351
