,6-idle-img3-cnn6-0999-data_set_uncertain_time1-,converged_iterations,total_time,min
la16_100_25,1033.0,30.0,1.6871018409729004,0.0
la16_100_50,1115.0,30.0,1.733964204788208,0.0
la16_100_75,1059.0,30.0,1.6871018409729004,0.0
la16_25_25,1012.0,30.0,1.7652397155761719,0.0
la16_25_50,1098.0,30.0,1.796419620513916,0.0
la16_25_75,1102.0,30.0,1.999527931213379,0.0
la16_50_25,1071.0,30.0,2.061980962753296,0.0
la16_50_50,1088.0,30.0,2.2026381492614746,0.0
la16_50_75,1111.0,30.0,2.202603340148926,0.0
la16_75_25,1057.0,30.0,2.155740737915039,0.0
la16_75_50,1044.0,30.0,2.2182629108428955,0.0
la16_75_75,1097.0,30.0,2.186946153640747,0.0
la26_100_25,1302.0,30.0,4.873816967010498,0.0
la26_100_50,1395.0,30.0,5.045682907104492,0.0
la26_100_75,1371.0,30.0,4.9083778858184814,0.0
la26_25_25,1357.0,30.0,4.983198165893555,0.0
la26_25_50,1337.0,30.0,4.85822606086731,0.0
la26_25_75,1348.0,30.0,4.920712232589722,0.0
la26_50_25,1326.0,30.0,4.873814344406128,0.0
la26_50_50,1339.0,30.0,5.030059814453125,0.0
la26_50_75,1394.0,30.0,4.9675774574279785,0.0
la26_75_25,1296.0,30.0,4.998821258544922,0.0
la26_75_50,1408.0,30.0,4.795740604400635,0.0
la26_75_75,1375.0,30.0,4.920712947845459,0.0
la31_100_25,1823.0,30.0,8.373056650161743,0.0
la31_100_50,1851.0,30.0,8.138704776763916,0.0
la31_100_75,1989.0,30.0,8.22893214225769,0.0
la31_25_25,1761.0,30.0,8.373022079467773,0.0
la31_25_50,1907.0,30.0,8.419886589050293,0.0
la31_25_75,1846.0,30.0,8.466749668121338,0.0
la31_50_25,1746.0,30.0,8.23242735862732,0.0
la31_50_50,1822.0,30.0,8.357442140579224,0.0
la31_50_75,1794.0,30.0,8.185598850250244,0.0
la31_75_25,1811.0,30.0,8.337432622909546,0.0
la31_75_50,1851.0,30.0,8.294914245605469,0.0
la31_75_75,1877.0,30.0,8.97933578491211,0.0
ta41_100_25,2478.0,30.0,19.22224760055542,0.0
ta41_100_50,2444.0,30.0,19.089273691177368,0.0
ta41_100_75,2601.0,30.0,19.47974133491516,0.0
ta41_25_25,2467.0,30.0,18.99551248550415,0.0
ta41_25_50,2564.0,30.0,18.947100162506104,0.0
ta41_25_75,2474.0,30.0,19.057962894439697,0.0
ta41_50_25,2485.0,30.0,19.339213609695435,0.0
ta41_50_50,2398.0,30.0,18.94865345954895,0.0
ta41_50_75,2582.0,30.0,18.97992444038391,0.0
ta41_75_25,2455.0,30.0,18.88616132736206,0.0
ta41_75_50,2479.0,30.0,19.08924436569214,0.0
ta41_75_75,2630.0,30.0,19.013078927993774,0.0
