,6-idle-img3-cnn6-0999-data_set_uncertain_time1-,converged_iterations,total_time,min
la16_100_25,1033.0,30.0,2.251932144165039,0.0
la16_100_50,1136.0,30.0,2.077634572982788,0.0
la16_100_75,1112.0,30.0,2.0247442722320557,0.0
la16_25_25,1065.0,30.0,2.0620129108428955,0.0
la16_25_50,1034.0,30.0,2.0620133876800537,0.0
la16_25_75,1076.0,30.0,2.046421527862549,0.0
la16_50_25,1039.0,30.0,2.10884690284729,0.0
la16_50_50,1088.0,30.0,2.0307698249816895,0.0
la16_50_75,1111.0,30.0,2.0307724475860596,0.0
la16_75_25,1046.0,30.0,2.1088755130767822,0.0
la16_75_50,1027.0,30.0,2.062014579772949,0.0
la16_75_75,1126.0,30.0,2.0620133876800537,0.0
la26_100_25,1298.0,30.0,4.5926642417907715,0.0
la26_100_50,1395.0,30.0,4.702004909515381,0.0
la26_100_75,1380.0,30.0,4.650275707244873,0.0
la26_25_25,1379.0,30.0,5.533340930938721,0.0
la26_25_50,1345.0,30.0,6.3680408000946045,0.0
la26_25_75,1348.0,30.0,5.192037105560303,0.0
la26_50_25,1356.0,30.0,4.953425168991089,0.0
la26_50_50,1316.0,30.0,5.276470422744751,0.0
la26_50_75,1368.0,30.0,5.4981467723846436,0.0
la26_75_25,1307.0,30.0,5.876785516738892,0.0
la26_75_50,1393.0,30.0,4.714533567428589,0.0
la26_75_75,1414.0,30.0,4.892226219177246,0.0
la31_100_25,1832.0,30.0,8.217358350753784,0.0
la31_100_50,1845.0,30.0,8.281519889831543,0.0
la31_100_75,1989.0,30.0,8.530666589736938,0.0
la31_25_25,1760.0,30.0,9.641151666641235,0.0
la31_25_50,1907.0,30.0,7.904382944107056,0.0
la31_25_75,1854.0,30.0,8.154289722442627,0.0
la31_50_25,1746.0,30.0,7.873142242431641,0.0
la31_50_50,1860.0,30.0,8.201219320297241,0.0
la31_50_75,1802.0,30.0,7.98526930809021,0.0
la31_75_25,1816.0,30.0,8.044942140579224,0.0
la31_75_50,1819.0,30.0,8.123051166534424,0.0
la31_75_75,1861.0,30.0,7.9512457847595215,0.0
ta41_100_25,2496.0,30.0,20.276426792144775,0.0
ta41_100_50,2510.0,30.0,20.417085886001587,0.0
ta41_100_75,2649.0,30.0,19.998512983322144,0.0
ta41_25_25,2515.0,30.0,26.171674489974976,0.0
ta41_25_50,2558.0,30.0,30.117836713790894,0.0
ta41_25_75,2475.0,30.0,21.760521411895752,0.0
ta41_50_25,2511.0,30.0,21.615134716033936,0.0
ta41_50_50,2446.0,30.0,23.95949912071228,0.0
ta41_50_75,2581.0,30.0,20.88565969467163,0.0
ta41_75_25,2464.0,30.0,22.731155395507812,0.0
ta41_75_50,2443.0,30.0,30.603111743927002,0.0
ta41_75_75,2674.0,30.0,23.15462565422058,0.0
