,6-idle-img3-cnn6-0999-data_set_uncertain_time1-,converged_iterations,total_time,min
la16_100_25,1058.0,30.0,1.9370396137237549,0.0
la16_100_50,1122.0,30.0,2.0739028453826904,0.0
la16_100_75,1086.0,30.0,1.9370756149291992,0.0
la16_25_25,1046.0,30.0,1.9370427131652832,0.0
la16_25_50,1098.0,30.0,2.093254804611206,0.0
la16_25_75,1070.0,30.0,1.9370102882385254,0.0
la16_50_25,1039.0,30.0,1.8901805877685547,0.0
la16_50_50,1044.0,30.0,2.0151824951171875,0.0
la16_50_75,1117.0,30.0,1.9838733673095703,0.0
la16_75_25,1046.0,30.0,1.937077522277832,0.0
la16_75_50,1050.0,30.0,1.9838733673095703,0.0
la16_75_75,1130.0,30.0,2.0307679176330566,0.0
la26_100_25,1318.0,30.0,4.467727899551392,0.0
la26_100_50,1395.0,30.0,4.4364495277404785,0.0
la26_100_75,1367.0,30.0,4.4832844734191895,0.0
la26_25_25,1370.0,30.0,4.467693090438843,0.0
la26_25_50,1347.0,30.0,4.420800685882568,0.0
la26_25_75,1348.0,30.0,4.405210733413696,0.0
la26_50_25,1356.0,30.0,4.4832844734191895,0.0
la26_50_50,1334.0,30.0,4.533115386962891,0.0
la26_50_75,1386.0,30.0,4.56142520904541,0.0
la26_75_25,1320.0,30.0,4.4676971435546875,0.0
la26_75_50,1405.0,30.0,4.514588356018066,0.0
la26_75_75,1416.0,30.0,4.639526844024658,0.0
la31_100_25,1835.0,30.0,7.623230695724487,0.0
la31_100_50,1883.0,30.0,7.576334714889526,0.0
la31_100_75,1998.0,30.0,7.654407501220703,0.0
la31_25_25,1759.0,30.0,8.854000329971313,0.0
la31_25_50,1907.0,30.0,9.243895530700684,0.0
la31_25_75,1846.0,30.0,9.435514450073242,0.0
la31_50_25,1750.0,30.0,9.123415470123291,0.0
la31_50_50,1841.0,30.0,8.327846765518188,0.0
la31_50_75,1781.0,30.0,8.758856058120728,0.0
la31_75_25,1811.0,30.0,8.338112831115723,0.0
la31_75_50,1836.0,30.0,8.577497005462646,0.0
la31_75_75,1891.0,30.0,8.699678659439087,0.0
ta41_100_25,2482.0,30.0,23.68824791908264,0.0
ta41_100_50,2451.0,30.0,21.211364030838013,0.0
ta41_100_75,2646.0,30.0,25.136465311050415,0.0
ta41_25_25,2486.0,30.0,19.43415927886963,0.0
ta41_25_50,2553.0,30.0,20.155178785324097,0.0
ta41_25_75,2486.0,30.0,23.355647563934326,0.0
ta41_50_25,2462.0,30.0,23.493465185165405,0.0
ta41_50_50,2456.0,30.0,21.449418783187866,0.0
ta41_50_75,2563.0,30.0,22.59014916419983,0.0
ta41_75_25,2491.0,30.0,19.698474645614624,0.0
ta41_75_50,2489.0,30.0,21.412354946136475,0.0
ta41_75_75,2651.0,30.0,20.586368322372437,0.0
